sp,pvL,pvR,mvL,mvR
300,-300,250,-11,12
300,-300,350,-11,7
300,-300,300,-11,9
300,-300,300,-11,9
300,-300,250,-11,12
300,-300,350,-11,7
300,-300,250,-11,12
300,-300,350,-11,7
300,-300,250,-11,12
300,-300,350,-11,7
300,-300,300,-11,9
300,-300,300,-11,9
300,-300,300,-11,9
300,-300,300,-11,9
300,-300,300,-11,9
300,-300,300,-11,9
300,-300,250,-11,12
300,-300,350,-11,7
300,-300,250,-11,12
300,-300,350,-11,7
300,-300,250,-11,12
300,-300,350,-11,7
300,-300,250,-11,12
300,-300,350,-11,7
300,-300,250,-11,12
300,-300,300,-11,9
300,-300,300,-11,9
300,-300,350,-11,7
300,-300,250,-11,12
300,-300,350,-11,7
300,-300,300,-11,9
300,-300,300,-11,9
300,-300,300,-11,9
300,-300,300,-11,9
300,-300,250,-11,12
300,-300,350,-11,7
300,-300,250,-11,12
300,-300,350,-11,7
300,-300,250,-11,12
300,-300,350,-11,7
300,-300,250,-11,12
300,-300,350,-11,7
300,-300,250,-11,12
300,-300,300,-11,9
300,-300,300,-11,9
300,-300,300,-11,9
300,-300,300,-11,9
300,-300,300,-11,9
300,-300,300,-11,9
300,-300,350,-11,7
300,-300,250,-11,12
300,-300,300,-11,9
300,-300,300,-11,9
300,-300,300,-11,9
300,-300,300,-11,9
300,-300,350,-11,7
300,-300,250,-11,12
300,-300,350,-11,7
300,-300,250,-11,12
300,-300,350,-11,7
300,-300,250,-11,12
300,-300,350,-11,7
300,-300,250,-11,12
300,-300,350,-11,7
300,-300,250,-11,12
300,-300,350,-11,7
300,-300,250,-11,12
300,-300,350,-11,7
300,-300,300,-11,9
300,-300,300,-11,9
300,-300,250,-11,12
300,-300,300,-11,9
300,-300,300,-11,9
300,-300,300,-11,9
300,-300,300,-11,9
300,-300,300,-11,9
300,-300,300,-11,9
300,-300,300,-11,9
300,-300,300,-11,9
300,-300,300,-11,9
300,-300,300,-11,9
300,-300,300,-11,9
300,-300,300,-11,9
300,-300,300,-11,9
300,-300,300,-11,9
300,-300,300,-11,9
300,-300,300,-11,9
300,-300,250,-11,12
300,-300,300,-11,9
300,-300,300,-11,9
300,-300,250,-11,12
300,-300,300,-11,9
300,-300,300,-11,9
300,-300,300,-11,9
300,-300,300,-11,9
300,-300,300,-11,9
300,-300,300,-11,9
300,-300,300,-11,9
300,-300,250,-11,12
300,-300,300,-11,9
300,-300,300,-11,10
300,-300,300,-11,10
300,-300,250,-11,12
300,-300,350,-11,7
300,-300,250,-11,12
300,-300,300,-11,10
300,-300,300,-11,10
300,-300,300,-11,10
300,-300,300,-11,10
300,-300,300,-11,10
300,-300,300,-11,10
300,-300,250,-11,12
300,-300,350,-11,7
300,-300,250,-11,12
300,-300,350,-11,7
300,-300,250,-11,12
300,-300,300,-11,10
300,-300,300,-11,10
300,-300,300,-11,10
300,-300,300,-11,10
300,-300,300,-11,10
300,-300,300,-11,10
300,-300,300,-11,10
300,-300,250,-11,12
300,-300,350,-11,7
300,-300,250,-11,12
300,-300,300,-11,10
300,-300,300,-11,10
300,-300,300,-11,10
300,-300,300,-11,10
300,-300,300,-11,10
300,-300,300,-11,10
300,-300,300,-11,10
300,-300,300,-11,10
300,-300,300,-11,10
300,-300,250,-11,12
300,-300,300,-11,10
300,-300,300,-11,10
300,-300,300,-11,10
300,-300,300,-11,10
300,-300,300,-11,10
300,-300,300,-11,10
300,-300,300,-11,10
300,-300,300,-11,10
300,-300,300,-11,10
300,-300,300,-11,10
300,-300,300,-11,10
300,-300,300,-11,10
300,-300,300,-11,10
300,-300,300,-11,10
300,-300,300,-11,10
300,-300,300,-11,10
300,-300,300,-11,10
300,-300,300,-11,10
300,-300,300,-11,10
300,-300,300,-11,10
300,-300,300,-11,10
300,-300,300,-11,10
300,-300,300,-11,10
300,-300,300,-11,10
300,-300,300,-11,10
300,-300,300,-11,10
300,-300,300,-11,10
300,-300,300,-11,10
300,-300,300,-11,10
300,-300,300,-11,10
300,-300,300,-11,10
300,-300,300,-11,10
300,-300,300,-11,10
300,-300,300,-11,10
300,-300,300,-11,10
300,-300,300,-11,10
300,-300,300,-11,10
300,-300,300,-11,10
300,-300,300,-11,10
300,-300,300,-11,10
300,-300,300,-11,10
